"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2357633","Sergio  Garcia-Gomez and Manuel  Escriche-Vicente and Pablo  Arozarena-Llopis and Francesco  Lelli and Yehia  Taher and Christof  Momm and Axel  Spriestersbach and Jurgen  Vogel and Andrea  Giessmann and Frederic  Junker and Miguel  Jimenez-Gan&#225;n and Jozsef  Biro and Goulven  Le Jeune and Michel  Dao and Stephane P. Carrie and Joerg  Niemoller and Dimitri  Mazmanov","","","","4CaaSt: Comprehensive Management of Cloud Services Through a PaaS","494--499","","6","Cloud, Platform as a Service, Service Composition","10.1109/ISPA.2012.72","","","","","","","2012","","Proceedings of the 2012 IEEE 10th International Symposium on Parallel and Distributed Processing with Applications","ISPA '12","","978-0-7695-4701-5","","IEEE Computer Society","Washington, DC, USA"
"article","2760980","Lars  Braubach and Kai  Jander and Alexander  Pokahr","","","","A Middleware for Managing Non-Functional Requirements in Cloud PaaS","83--92","","10","platform-as-a-service, components, programming model, cloud applications","10.1109/ICCAC.2014.32","","","","","","","2014","","Proceedings of the 2014 International Conference on Cloud and Autonomic Computing","ICCAC '14","","978-1-4799-5841-2","","IEEE Computer Society","Washington, DC, USA"
"article","2759497","Xingtu  Lan and Yanping  Liu and Xing  Chen and Yicheng  Huang and Bing  Lin and Wenzhong  Guo","","","","A Model-Based Autonomous Engine for Application Runtime Environment Configuration and Deployment in PaaS Cloud","823--828","","6","Cloud Computing, Platform as a Service, Model Based Management, Autonomic Systems, Satisfiability","10.1109/CloudCom.2014.80","","","","","","","2014","","Proceedings of the 2014 IEEE 6th International Conference on Cloud Computing Technology and Science","CLOUDCOM '14","","978-1-4799-4093-6","","IEEE Computer Society","Washington, DC, USA"
"technical report","2206223","Peter M. Mell and Timothy  Grance","","","","","","","","","","","","","","","","2011","","SP 800-145. The NIST Definition of Cloud Computing","","","","","National Institute of Standards & Technology","Gaithersburg, MD, United States"
"article","3025130","Farzad  Firozbakht and Waeal J. Obidallah and Bijan  Raahemi","","","","Cloud Computing Service Discovery Framework for IaaS and PaaS Models","82:1--82:6","82","6","asynchronous javascript and xml, cloud service discovery, extensible markup language, framework, infrastructure as a service, platform as a service, query engine, search, semantic, syntax","10.1145/3018896.3025130","","","","","","","2017","","Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing","ICC '17","","978-1-4503-4774-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2430489","Jin  Shao and Qianxiang  Wang","","","","A Model-driven Monitoring Approach for Internetware on Platform-as-a-service (PaaS)","14:1--14:8","14","8","cloud computing, internetware, model-driven, monitoring","10.1145/2430475.2430489","","","","","","","2012","","Proceedings of the Fourth Asia-Pacific Symposium on Internetware","Internetware '12","","978-1-4503-1888-4","Qingdao, China","ACM","New York, NY, USA"
"article","1804030","Amit  Sheth and Ajith  Ranabahu","","","","Semantic Modeling for Cloud Computing, Part 1","81--83","","3","Internet, Internet, semantics, Semantic Web, cloud computing, infrastructure as a service, platform as a service, software as a service, Semantic Web, cloud computing, infrastructure as a service, platform as a service, semantics, software as a service","10.1109/MIC.2010.77","IEEE Internet Computing","May 2010","14","3","","May","2010","1089-7801","","","","","","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","2046665","Andrew  Brown and Jeffrey S. Chase","","","","Trusted Platform-as-a-service: A Foundation for Trustworthy Cloud-hosted Applications","15--20","","6","cloud computing","10.1145/2046660.2046665","","","","","","","2011","","Proceedings of the 3rd ACM Workshop on Cloud Computing Security Workshop","CCSW '11","","978-1-4503-1004-8","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","2342779","James  Horey and Edmon  Begoli and Raghul  Gunasekaran and Seung-Hwan  Lim and James  Nutaro","","","","Big Data Platforms As a Service: Challenges and Approach","16--16","","1","","","","","","","","","2012","","Proceedings of the 4th USENIX Conference on Hot Topics in Cloud Ccomputing","HotCloud'12","","","Boston, MA","USENIX Association","Berkeley, CA, USA"
"article","2414101","Andreas  Holubek and Christian  Metzger","","","","Considerations for Healthcare Applications in a Platform As a Service Environment","73--74","","2","","10.1007/978-3-642-34032-1_9","","","","","","","2012","","Proceedings of the 5th International Conference on Leveraging Applications of Formal Methods, Verification and Validation: Applications and Case Studies - Volume Part II","ISoLA'12","","978-3-642-34031-4","Heraklion, Crete, Greece","Springer-Verlag","Berlin, Heidelberg"
